variable,BM1,BMS,OU1,OUM,OUMV,OUMA,OUMVA,best,trait
stemarea,297.250987954723,302.372811692174,299.308515082554,295.525718051568,300.972837692329,296.876984910575,-2061.38028861631,OUMVA,Leaf.Structure
stemarea,297.250987954723,301.672854306686,299.308515082554,295.133907559067,298.198730633063,-1431.3839706849,300.775996797246,OUMA,Leaf.Structure
stemarea,297.250987954723,304.639685318618,299.308515082554,302.335916052363,304.548922866606,-1355.54609548268,286.093399876612,OUMA,Leaf.Structure
stemarea,297.250987954723,302.118113369778,299.308515082554,294.82386322826,299.579412824136,301.790012490561,293.293618567789,OUMVA,Leaf.Structure
stemarea,297.250987954723,304.866130542351,299.308515082554,301.541986949559,307.27527989211,303.182900795994,298.800536984493,BM1,Leaf.Structure
stemarea,297.250987954723,301.237998213311,299.308515082554,294.004369921095,299.216414686069,300.029568659558,-4267.39809181177,OUMVA,Leaf.Structure
stemarea,297.250987954723,307.046914965275,299.308515082554,301.731563731831,307.71127881614,303.142966639984,293.463789815057,OUMVA,Leaf.Structure
stemarea,297.250987954723,306.294167618261,299.308515082554,300.200533494622,307.107081472944,-2834.64286544665,-33.8911142077265,OUMA,Leaf.Structure
stemarea,297.250987954723,305.594741849099,299.308515082554,300.92806083724,307.0818383204,-1088.2999885926,-1872.64997857906,OUMVA,Leaf.Structure
stemarea,297.250987954723,303.965897460451,299.308515082554,298.150520731708,305.547419648254,296.348450010988,285.932750525977,OUMVA,Leaf.Structure
stemarea,297.250987954723,309.324239799733,299.308515082554,304.874912685848,311.629878787983,307.216789115213,-1591.05638932407,OUMVA,Leaf.Structure
stemarea,297.250987954723,304.232011792088,299.308515082554,298.352455666534,304.551852116224,304.784874130113,300.985669523336,BM1,Leaf.Structure
stemarea,297.250987954723,299.337173407713,299.308515082554,297.13263071145,301.745218605222,297.997612654798,294.294881128916,OUMVA,Leaf.Structure
stemarea,297.250987954723,301.012708713162,299.308515082554,299.620752678057,299.994689725527,297.471180227861,300.969944800943,BM1,Leaf.Structure
stemarea,297.250987954723,302.669418288556,299.308515082554,297.139694546934,302.617686357132,303.605302943223,296.391171973425,OUMVA,Leaf.Structure
stemarea,297.250987954723,302.757324486895,299.308515082554,298.589665572517,304.602745537894,300.710004663261,298.0782502265,BM1,Leaf.Structure
stemarea,297.250987954723,301.925967031243,299.308515082554,295.344097950876,300.844949743263,297.203245015929,274.324310824451,OUMVA,Leaf.Structure
stemarea,297.250987954723,298.396592396959,299.308515082554,299.458520269322,295.356059480679,-2288.21313966416,-2813.18183049989,OUMVA,Leaf.Structure
stemarea,297.250987954723,298.934492199762,299.308515082554,292.305053308924,297.876950058696,298.725117470471,297.963696225419,OUM,Leaf.Structure
stemarea,297.250987954723,305.426027788467,299.308515082554,302.789963109014,307.178608275818,302.071077931539,305.894887961502,BM1,Leaf.Structure
stemarea,297.250987954723,296.154885531641,299.308515082554,296.094016131001,290.500965318883,294.497853423068,292.217196787777,OUMV,Leaf.Structure
stemarea,297.250987954723,302.481939265023,299.308515082554,295.454412849159,299.943097960713,297.052630722171,291.153826099713,OUMVA,Leaf.Structure
stemarea,297.250987954723,306.12229562946,299.308515082554,300.583608458657,307.452550070588,303.722263981258,281.288185819752,OUMVA,Leaf.Structure
stemarea,297.250987954723,304.603045762087,299.308515082554,297.203271963499,302.650573189855,-2725.1159403475,-2839.5784219245,OUMVA,Leaf.Structure
stemarea,297.250987954723,300.165352547816,299.308515082554,293.277592027236,299.02027808993,-3716.37204177015,-1472.20022873159,OUMA,Leaf.Structure
stemarea,297.250987954723,303.951390736349,299.308515082554,298.444941580109,304.319480488921,-3088.25100804938,-788.638777921083,OUMA,Leaf.Structure
