trait,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4,simmap
stemarea,app,2.27422303190286,0.242854831437722,1.80048666044352e-08,NA,0.176926894266928,0.0108383719248125,1.72317920162238e-09,NA,0.157084629264947,4.1769251036137e-253,-1.66715253043467e-253,NA,1
stemarea,app,0.161717018480939,0.0877793210157538,5.04534234005929e-08,NA,1.21734135523263,1.14633605457854,1e-09,NA,-1.24743490061414,7.85012150286662,5052255.41657791,NA,2
stemarea,app,0.0550822662134916,0.0529742932753635,0.0397000375819478,NA,0.471016357369592,0.346199995220752,0.0982474877767028,NA,-1.43257413286119,7.14471276331377,3350628.43574019,NA,3
stemarea,app,0.0813081184304754,0.0536454274437232,0.002623946334454,NA,0.584551298406974,0.55303897085575,0.0170206837728501,NA,-1.37028160755716,6.6566502019737,7903471.84064386,NA,4
stemarea,app,8.79993872480657,3.77674415580972e-07,1.32719557932344e-07,NA,5.64277308890384e-06,5.64277308890384e-06,5.64277308890384e-06,NA,-2.65759706692272,0,0,NA,5
stemarea,app,0.458464303511175,0.246874515672765,1.46579361719042e-07,NA,2.27488935521425,27.3626911768904,1.01672749499904e-09,NA,-1.74077874306599,4.14373512100254,-3.38763941235372e-07,NA,6
stemarea,app,0.0561413035831867,0.0456815026306219,0.0497653566385723,NA,0.477511151959993,0.1192175025845,0.346385340715666,NA,-1.21820382422293,-1532446.32303342,9.14216690680096,NA,7
stemarea,app,0.104249602131226,0.0717079512247123,0.00715288916155442,NA,0.739008919077227,0.436011319774997,1e-09,NA,-1.44376046378153,7.67393214550658,2544795.42406292,NA,8
stemarea,app,0.0601723589491858,0.0702557460760701,0.00325802945663791,NA,0.504916896409832,0.190263612560244,0.00547318738552802,NA,-1.32034807128115,6.90952469650577,-281.990808854568,NA,9
stemarea,app,0.0421530324416515,0.0410438908622407,0.0348910493756472,NA,0.490234106093042,0.25378376297824,0.00525219717372653,NA,-1.78262588569363,10.0157033462503,-3.1168494702023,NA,10
stemarea,app,0.0658022921779661,0.23932649270976,0.0517482976100886,NA,0.5137911564023,0.0156247083080712,0.023818249479632,NA,-1.22157469099726,3.07750801044296,0.119399178385728,NA,11
stemarea,app,0.0568863563252409,0.0313926894983664,0.0125427650461913,NA,0.441507129054669,0.396579712873579,0.00816376951196294,NA,-1.52378166201053,12.1281544360616,8317533.28279095,NA,12
stemarea,app,0.0523074158330695,0.0234920074356283,0.0114174251316917,NA,0.438412671199578,0.357890536102669,0.0073042396723518,NA,-1.35009841130471,19.1691526191382,-0.59083798614418,NA,13
stemarea,app,0.129357814635862,2.04211738118509e-06,2.01400698952409e-06,NA,0.831022388709449,2.32052602571337,1e-09,NA,-1.22638347860218,20960376.0347615,9373045.04476167,NA,14
stemarea,app,3.46745507449623,0.0338336851710881,1.32931045001861e-08,NA,0.20663842233682,0.46218688459762,1.26781837582204e-09,NA,0.503629087256756,0,0,NA,15
stemarea,app,2.60139735193403,0.00775378978389378,1.31440266503311e-09,NA,0.000423426242129862,0.000423426242129862,0.000423426242129862,NA,0.964683793148879,0,0,NA,16
stemarea,app,0.0704534227893664,0.029404429761543,0.00120139132369057,NA,0.549642750152784,0.483172047327802,0.00776751837808521,NA,-1.35080896924807,15.5711680301394,22285240.4881861,NA,17
stemarea,app,3.37417005216765,1e-09,3.30977843435725e-09,NA,0.001449452916833,0.001449452916833,0.001449452916833,NA,-1.86213813094,0,0,NA,18
stemarea,app,0.848285625764178,0.962303331755521,2.14728613651821e-06,NA,4.62148876227308,0.620321814825606,1.00438525667454e-09,NA,-1.61602968523201,2.55509561540907,-1.32532632547407e-09,NA,19
stemarea,app,3.26469503339096,0.0278435582748671,5.53368794588576e-09,NA,1.58796882102742e-09,1.14571153780776e-09,1.5409619377192e-09,NA,-2.78786150521793,0,0,NA,20
stemarea,app,0.121843076733545,0.047891931391106,0.00118638597044946,NA,0.678311358980118,0.980759281860001,1e-09,NA,-1.20645132853471,8.00051387590246,608138.647744201,NA,21
stemarea,app,0.0474585307491556,0.0405787782504025,0.0169828463034203,NA,0.50448168504618,0.246493214365757,0.00243624353750776,NA,-2.18881975198754,9.06508770475749,-1783625.97485435,NA,22
stemarea,app,0.175517432944661,0.0131308498059411,0.000131836336499499,NA,0.98656759595212,2.56755774802883,1.00000000507345e-09,NA,-1.37425620818207,79.892188354971,-3955338.80271279,NA,23
stemarea,app,0.074819111382033,0.0820258073477999,0.0735679705751892,NA,0.532765116782783,0.228593127553624,0.0032064942103441,NA,-1.85220058387527,5.72624381604974,564.515265785728,NA,24
stemarea,app,0.100547098493081,0.0411758609648986,0.000598298393168379,NA,0.617645314107982,0.736965967556704,1.00000000000101e-09,NA,-1.28588264344253,10.7636144937877,12608647.5037938,NA,25
stemarea,app,0.0686983830378639,0.0690996520981366,0.0640527806262765,NA,0.437613043406015,0.37777340978127,0.277279360213178,NA,-1.69694504953087,6.4058037297423,0.600664967231669,NA,26
stemarea,app,0.157477150746459,0.0537812316154542,4.38047771092923e-08,NA,0.948751311144216,1.48905296880914,1e-09,NA,-1.26820869061605,9.83319739708251,2490457.6113213,NA,27
stemarea,app,2.75085485655699,0.00545110981979761,0.365210502013658,NA,1.00025445870422e-09,1.00025445870422e-09,1.00025445870422e-09,NA,-2.72242829663458,0,0,NA,28
stemarea,app,4.25417641473406,0.00152001411526667,0.0368288858954992,NA,0.321026363814006,0.321026363814006,0.321026363814006,NA,0.503556816932706,0,0,NA,29
stemarea,app,0.166586647963855,0.153142440621786,2.83576718640922e-05,NA,0.804394122243645,0.658074419508102,1e-09,NA,-1.64210572990141,3.66596378977713,15328412.3880123,NA,30
stemarea,app,0.18245287024848,0.0556619020813391,7.59634291664652e-06,NA,0.95107070433212,1.79053209256788,1e-09,NA,-1.55424685350414,10.083914914193,-2.30564314356018e-05,NA,31
stemarea,app,0.073501778155314,0.031774676523452,0.0141286341827786,NA,0.524525608707609,0.457747131548624,0.00552870396627318,NA,-1.77961981005397,14.3820364140093,3722984.07868414,NA,32
stemarea,app,0.0848480361616404,0.00539407434871105,0.00539403804533863,NA,0.51267509567018,0.750349181785031,1.00000000000009e-09,NA,-1.43650065305931,6729357.40228404,18445089.8377944,NA,33
stemarea,app,2.71551452215937,0.23234148806659,2.11157620587008e-08,NA,0.620261846776303,0.0453538053186316,1.38858074283987e-09,NA,-2.25184101926831,0,0,NA,34
stemarea,app,0.0848065145050234,0.0432138775127715,0.00386858770406708,NA,0.693782719425011,0.594485993974048,1e-09,NA,-1.41247252858059,10.3149333151361,11426224.777049,NA,35
stemarea,app,2.41873811343529,0.000257706919095527,1.5428269979262e-08,NA,1.24801060926725,1.24801060926725,1.24801060926725,NA,-2.78805889614763,5.09216330439328e-312,-1.24332133675367e-312,NA,36
stemarea,app,5.90199301466965,0.0717408783755148,5.62297951012201e-07,NA,0.22490721150276,0.22490721150276,0.22490721150276,NA,-1.86023380528907,0,0,NA,37
stemarea,app,2.55861944698281,0.0482374441218334,2.01252955901193e-08,NA,0.00869088836835295,0.00869088836835295,0.00869088836835295,NA,-1.30807697445283,0,0,NA,38
stemarea,app,0.0744957525971369,0.0170722635180216,0.0124972686231649,NA,0.51634738818104,0.569111946596574,0.056311853332993,NA,-1.30183994176315,102.857091308115,78703.1317521365,NA,39
stemarea,app,5.43269990745964,0.464160078709409,3.01137931492131e-08,NA,2.76482045657005,13.8659938278775,1.2547413799032e-09,NA,0.503631609566257,0,0,NA,40
stemarea,app,3.07180490361909,4.73379130298157e-06,5.66966625110073e-09,NA,0.106357735523534,0.233063091267916,1.66599818252117e-09,NA,-2.65757484501118,0,0,NA,41
stemarea,app,0.121373752383874,0.0883304636504284,3.79910681388591e-05,NA,0.666818401380263,0.557501091833009,1e-09,NA,-1.65502796878286,5.74572069970729,23696551.2696466,NA,42
stemarea,app,0.626217652034208,0.687120499879837,1.40049276823384e-07,NA,1.47780514997587,1.05034164592745,1.01071878243733e-09,NA,-1.53618657528934,2.58342216213938,-7.12442957426943e-10,NA,43
stemarea,app,3.7936964744849,0.335022237922865,9.32011885697013e-08,NA,0.0480083604956442,2.88071319878108,1.45146296554685e-09,NA,1.67767411583737,0,0,NA,44
stemarea,app,0.110401747967314,0.0220427154286161,0.000589152569016682,NA,0.622551446621769,0.788009440931672,0.0258517117816025,NA,-1.56256297897771,41.6578132102469,12350143.8283904,NA,45
stemarea,app,2.07744216463612,0.00233857884695996,1.30183414098393e-07,NA,0.059563113488531,0.059563113488531,0.059563113488531,NA,0.505645321877433,0,0,NA,46
stemarea,app,0.0619250548559147,0.0519475982732961,0.0260471128312664,NA,0.612261079501296,0.363387629405435,0.00559936115425441,NA,-1.43328151362435,7.28459804608749,8714120.85115191,NA,47
stemarea,app,0.092282796189754,0.065703717231726,0.00713054966824385,NA,0.558149680903201,0.485295859480349,0.191291525336675,NA,-1.44093682988049,5.97954362477409,663493.187994273,NA,48
stemarea,app,3.71185749274828,0.0316339561070435,4.06692205691324e-09,NA,0.287508103263809,0.37112296159863,1.00609603734944e-09,NA,-2.03003195379293,2.27604240340135e-14,-1.27798838767671e-21,NA,49
stemarea,app,0.776846044026801,0.76293026883261,3.0152229435842e-08,NA,3.87281285899461,2.41419094244782,1.30688073127703e-09,NA,-1.56882912071712,2.44321514512184,-1.26779740462012e-11,NA,50
stemarea,app,0.0612575309318313,0.0204166536622034,0.00243062682400748,NA,0.470377628944982,0.516559453530757,0.00502157218868553,NA,-1.38397344836534,3106.42390171165,13142259.1751993,NA,51
stemarea,app,0.109585702842365,0.0415784274127918,0.00121231044393714,NA,0.612745125767102,0.88844350501279,1e-09,NA,-1.41761295599637,9.60196190741809,9752800.08317721,NA,52
stemarea,app,0.0687265234150709,0.0680982459198893,0.0604306599060694,NA,0.517557171383315,0.372606068402628,0.133784156767248,NA,-1.46562439843048,6.20308819601915,7.50641222419467,NA,53
stemarea,app,0.0427675621223515,0.0195886616807596,0.0177562692602204,NA,0.462039648782979,0.377527470116059,0.133923973525393,NA,-1.51453407315513,11177960.024111,7318851.23638705,NA,54
stemarea,app,4.57590564379023,0.000111075572341542,4.00191214325822e-09,NA,0.19637994314565,0.613511190823807,1.64642504012001e-09,NA,-2.65759720417042,0,0,NA,55
stemarea,app,0.210737635882502,0.146038489429831,9.14253683361433e-07,NA,0.968119944783478,0.86010461365636,1.00000000000006e-09,NA,-1.68910116748611,4.18377793631923,11987891.1324888,NA,56
stemarea,app,2.73418631119755,0.00075508098569113,5.74313437582945e-09,NA,1.10103168883717e-09,1.10103168883717e-09,1.10103168883717e-09,NA,-0.896683502992615,0,0,NA,57
stemarea,app,0.0803521255710593,0.031708248906049,0.011029973704435,NA,0.531684944613451,0.546634195361473,1.00000000000063e-09,NA,-1.44466316459959,15.3106428160813,55541.2063841859,NA,58
stemarea,app,0.210650422985383,0.129419413712413,0.000154198457007415,NA,0.993590664274792,1.70293992840534,1e-09,NA,-1.61095287793375,4.145514748363,10536219.9514938,NA,59
stemarea,app,0.0864863014830482,0.0734149155449027,0.00693297724480082,NA,0.516653151961886,0.487481157659931,0.0985703183818029,NA,-1.73256680198517,4.8279887114575,16049609.008521,NA,60
stemarea,app,0.0393903010310224,0.0240645292406559,0.0103092773301044,NA,0.428629347055788,0.368633491538598,0.00396671454047917,NA,-1.79922110996718,14.7846744235569,9800579.12801576,NA,61
stemarea,app,2.11943449123329,0.0414960132394807,2.38092231276368e-09,NA,0.00481745895674014,0.00481745895674014,0.00481745895674014,NA,-2.78788732208623,7.59305862535173e-12,1.62250994388418e-18,NA,62
stemarea,app,4.24001785600026,0.268299911426886,7.25028577958758e-06,NA,5.17057849401044,0.30237604467797,2.69822643941952e-09,NA,-1.87559515264076,0,0,NA,63
stemarea,app,3.59916379320714,0.000176445966293304,1.64472141275773e-07,NA,1e-09,1.21799000146226e-09,1.23216925265569e-06,NA,-1.56732045744176,0,0,NA,64
stemarea,app,2.75874679507695,0.0496850511058597,8.31033850969878e-09,NA,0.000782652820110217,0.378430102516825,1.3266527146315e-09,NA,0.503638018518635,0,0,NA,65
stemarea,app,0.103585923294791,0.0225413415800158,0.00184575447515534,NA,0.602931184444593,0.734742718317768,1e-09,NA,-1.39505297273258,21.7986410565073,4029461.19265305,NA,66
stemarea,app,0.0800078784302028,0.0607972126920931,0.00753870209503231,NA,0.526310006926346,0.44700367452863,0.0079747237563949,NA,-1.52366430374391,6.09807965767733,-3635774.97990237,NA,67
stemarea,app,0.0659875319590807,0.0363830179222008,0.0187330115374736,NA,0.523944703560108,0.507761843731334,0.0106453808525025,NA,-1.42557074450754,13.5345324890707,10163919.2430751,NA,68
stemarea,app,2.97104643066619,7.70580225725844e-05,9.63962688903003e-09,NA,0.351616671452038,0.390426958080076,1.30942438276615e-09,NA,-2.64334510811847,0,0,NA,69
stemarea,app,0.0581580883888497,0.077806827933722,0.0625687750561728,NA,0.526010400853897,0.276540152643679,0.10443395181159,NA,-1.23923854129964,6.13555437448599,-513355.176985378,NA,70
stemarea,app,0.0465878232878224,0.041114904191845,0.0242764491631616,NA,0.535879655120477,0.306055453892493,0.0044497022479745,NA,-1.33681940613201,8.17125069821481,-179682.042967927,NA,71
