alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4,trait,simmap,tree,disc.trait
2.14008281633014,2.14005708579626,2.14006475123938,2.13998683410258,1.32750680598028,0.275264192103169,0.537471762963182,0.0326909427554655,0.0100887561931643,-0.045247412180241,-0.0338608457562107,-0.000701736430873008,stemarea,1,1,app
1.99323047460135,1.99321609740371,1.99321453944921,1.99313380202139,1.15612864714732,0.443067851286305,0.601055905938722,0.2321662262346,0.00951444605070513,-0.0640478884368067,-0.0299859184238946,-0.00338794150556551,stemarea,2,1,app
1.42516595259515,1.42500169390981,1.42494485678296,1.42404773368058,0.86751761389236,0.372516654893038,0.186257817274474,0.0364560235618576,0.00891183855198978,-0.0330983512585098,-0.0516690848811066,-0.000773933347079545,stemarea,3,1,app
1.57187324641628,1.57184160395797,1.57185184509436,1.5717653349757,0.977008482430652,0.209841729233592,0.407251591677111,0.0336286452015719,0.00377176926808249,-0.0419061784424679,-0.0318837526007703,-0.000726499902061397,stemarea,4,1,app
1.78373414902724,1.78347012992583,1.78354050978797,1.78274162116296,1.10205110036866,0.26367149252505,0.462554551030394,0.054075909006911,0.0169944145632901,-0.0576896735865938,-0.0363351596960932,-0.00113264418195231,stemarea,5,1,app
1.35653766694006,1.35653453915393,1.3565327086327,1.35651982993397,0.845209548492825,0.352427977126068,0.164737821473611,0.031616410197256,0.00703855445688232,-0.0397055392978269,-0.0414305024004167,-0.000680603129306559,stemarea,6,1,app
1.46919763063771,1.46902545305855,1.46907347535054,1.46846962273939,0.911341649297027,0.193100912002847,0.383036219935336,0.0351531873553712,0.0071985679591855,-0.0528277730642684,-0.0283810462075005,-0.00074784627215183,stemarea,7,1,app
1.58449067479434,1.58439295597415,1.58434842655743,1.58402394008902,0.997681810287532,0.409673999092262,0.193722282890675,0.0288632793823838,0.00855620032429876,-0.0281792405256249,-0.0650681048255836,-0.000613762376785449,stemarea,8,1,app
1.70666852896465,1.70650622268961,1.7065525317118,1.7060631038473,1.04596751411404,0.218770165836826,0.443763799533983,0.0315137314148315,-0.00146043523137832,-0.0381993025671535,-0.0290999456211355,-0.000675655901820201,stemarea,9,1,app
1.32829832716101,1.32815368011343,1.32812939493396,1.3272725503812,0.791539891889125,0.342054007256881,0.165443543320978,0.0351144117636149,0.014119087910086,-0.0291183356444812,-0.0808131211011087,-0.000748931405437351,stemarea,10,1,app
0.971432990229795,0.97096389808635,0.971156147665574,0.969495049081863,0.0969493760799141,0.0945609521276068,0.0949226948314233,0.0900326106282237,-0.0989259417630876,-0.0233467643283313,-0.0460871832679317,-0.028443144599352,leafarea,1,1,app
3.22386268774124,0.00470155637699288,0.0340227019937095,0,0.000246409942081626,0.000246409942081626,0.000246409942081626,0.000246409942081626,-0.27546566926014,0,0,0,leafarea,2,1,app
3.22572531660211,0.000416274486356766,0.831641600122796,0,0.0136479024910093,0.0136479024910093,0.0136479024910093,0.0136479024910093,-0.383724389344796,0,0,0,leafarea,3,1,app
