trait,simmap,disc.trait,alpha1,alpha2,alpha3,alpha4,sigma1,sigma2,sigma3,sigma4,theta1,theta2,theta3,theta4
stemarea,1,app,0.0751322768284944,0.0751322768284944,0.0751322768284944,0.0751322768284944,0.59370025466838,0.348328427198103,1.00000000027995e-09,2.79950599270063e-19,-1.71497850082238,5.6144220719939,-0.194334629788183,-7.1489577807949e-28
stemarea,2,app,0.0402631930574634,0.0402631684929652,0.0402631515301692,0.0402631515301635,0.46559843302605,0.383947589036602,0.000720877554006422,2.82860403551896e-07,-1.43579147439929,7.6207112805876,2.76888944115279,-2.18850695675921e-11
stemarea,3,app,0.0400441585697463,0.0400440035857495,0.0400437747151669,0.0400436829992972,0.555234945309544,0.25068228834256,0.000745909828754805,4.04986761045345e-06,-1.27596193452035,11.3998878556686,-1.51998645873953,-1.92540891712261e-13
stemarea,4,app,0.0859392916189109,0.0859268199016892,0.0859170316463849,0.085902811484502,0.890123306894481,0.450308491278927,0.00169795021164156,0.000610530033220519,-1.82814987923345,4.4446339669977,-0.266902351407241,-2.09837358868948e-08
stemarea,5,app,0.0436436543307116,0.0436436543307116,0.0436436543307116,0.0436436543307116,0.528794936339894,0.239640031915423,1.00000007116695e-09,7.11669509639461e-17,-1.69038911965544,8.97853047532551,-0.257498563686857,-2.35661262942876e-23
stemarea,6,app,0.0347804518589969,0.0347743865693556,0.0347708056101149,0.0347708056089157,0.446816276892373,0.285708611566676,0.00104025505492947,5.85913811311105e-05,-1.31210477974189,10.8151304013516,290.561582908288,-1.42278723143792e-10
stemarea,7,app,0.0768626670299923,0.0768626670299923,0.0768626670299923,0.0768626670299923,0.668081019538293,0.420287413894808,1e-09,1.48772086847818e-24,-1.74750187327604,4.52161537587565,0.285664130758086,-3.13437188114584e-30
stemarea,8,app,0.0375614205683778,0.0375614205683778,0.0375614205683778,0.0375614205683778,0.751044260391378,0.325598617990538,1.00000000034007e-09,3.40072404253124e-19,-1.85068820665396,8.23699296032598,1.5064774017609,-1.67088566972791e-22
stemarea,9,app,0.0348833797028713,0.0348833797028713,0.0348833797028713,0.0348833797028713,0.599595473090058,0.230785408199991,1e-09,2.60646790915227e-24,-1.6355341911256,11.5119094538254,-1.78156465146751,-7.31275793349338e-30
stemarea,10,app,0.0304798741344919,0.0304798741344919,0.0304798741344919,0.0304798741344919,0.684759069621791,0.257925844696225,1.00000000000019e-09,1.90538334316736e-22,-1.78811306112231,9.69333714386408,-2.27072552184719,-3.94338364912206e-28
stemarea,11,app,0.0885104207730047,0.0885104142402043,0.0885103985550944,0.0885103985550906,0.590803182518756,0.298630336919384,0.000915188207739079,9.54422729965883e-08,-1.6798516043609,5.45057402876761,2.79237193308186,-7.82601552119582e-17
stemarea,12,app,3.26187115357366,0.0672273907981723,4.18523457022692e-07,0,0.34303643727818,0.34303643727818,0.34303643727818,0.34303643727818,-3.08907885315791,0,0,0
stemarea,13,app,0.0906847141064846,0.0906847141064846,0.0906847141064846,0.0906847141064846,0.814062651485213,0.404635435472942,1.00000000015303e-09,1.53033353539906e-19,-1.79343263950879,4.00497705247727,-0.874345986959074,-9.15506408056076e-26
stemarea,14,app,0.0851620566185065,0.0851611800154596,0.0851521180679145,0.085152118066417,0.673334392119787,0.526217495976571,0.00823182327950451,7.25280109497353e-05,-1.4107814816982,4.94076469872054,1326.04720616773,-9.2285792735964e-09
stemarea,15,app,0.0475585598936287,0.0475585598936287,0.0475585598936287,0.0475585598936287,0.588552890541196,0.344928201654786,1e-09,1.30774504496022e-25,-1.47952304539377,6.37245686065445,0.909807495699867,-1.13213021574684e-28
stemarea,16,app,0.0176309578016055,0.0176309578016055,0.0176309578016055,0.0176309578016055,0.508498031494882,0.260509502439018,1.00000000000001e-09,4.90247931686947e-24,-1.30470325870674,17.3153734288917,-5.0594044583887,-5.13779179753926e-28
stemarea,17,app,0.190952359925369,0.193658202090326,0.00303657857590104,0.00303657719231288,0.824538243142524,0.823337999915251,0.817645486435382,0.814851642564409,-1.44121686850911,2.91562806604421,-0.0353706734936107,-5.91199152103636e-07
stemarea,18,app,0.0786353092766685,0.0786353092766684,0.0786353092766684,0.0786353092766684,0.625089088683696,0.284209677335985,1.00000003198327e-09,3.19832664168148e-17,-1.62138401373537,6.44167175711921,0.869304346317033,-2.79511553830062e-28
stemarea,19,app,0.0698395318995665,0.0698395318995665,0.0698395318995665,0.0698395318995665,0.864865631741938,0.216782171603982,1.00000000000002e-09,2.20881713012824e-23,-1.37400494357344,5.79430153121053,-1.7509408223099,-6.48407204651829e-31
stemarea,20,app,0.0779701524624554,0.0714941356489362,0.0439869564455713,0.0439869560730373,0.501632277641631,0.441783961469978,0.35685790048988,0.307554869444125,-1.1327612111347,6.49503651284039,-1.08132263445434,-5.7534300704274e-06
stemarea,21,app,0.0492200638313215,0.0492200638313215,0.0492200638313215,0.0492200638313215,0.476163184162439,0.445279618585912,1.00000000000319e-09,3.1859260001438e-21,-1.17634748415066,6.0043865379853,1.09721507334899,-5.83509628696961e-24
stemarea,22,app,0.080853383959815,0.0635076641980293,0.0415056113075232,0.0415056041635668,0.542588025839615,0.520099480488465,0.371175707309081,0.3323876382826,-1.23601233483443,6.09896625903332,1282000.22761757,-3.8054134768908e-05
stemarea,23,app,0.0490698079490331,0.0490698079490331,0.0490698079490331,0.0490698079490331,0.68723773118439,0.410422261939994,1.00000000037956e-09,3.79563376501439e-19,-1.50978840265298,6.14523729524194,-1.82082408440516,-3.04838524067862e-22
stemarea,24,app,0.0404925290457977,0.0404925290457977,0.0404925290457977,0.0404925290457977,0.48556377173722,0.399590196453171,1e-09,2.37858274870762e-25,-1.36868132484026,6.45022969478188,1.3773399526767,-2.76984802424834e-28
stemarea,25,app,3.33235418081549,0.00652984037811999,3.28893372748307e-09,0,0.000257116975317463,0.000257116975317463,0.000257116975317463,0.000257116975317463,-3.06308122730268,0,0,0
stemarea,26,app,0.0999351526905115,0.0999351526905115,0.0999351526905115,0.0999351526905115,0.654220121748294,0.479644761345543,1e-09,3.05170873678228e-25,-1.44340388880004,3.98299000836346,0.19106541027448,-6.02122923307394e-31
stemarea,27,app,3.68758240558733,5.82598719743086e-05,2.46142592634632e-08,0,2.56307045586492,2.56307045586492,2.56307045586492,2.56307045586492,-1.90252480372327,0,0,0
stemarea,28,app,0.0345186346455442,0.0345186346455442,0.0345186346455442,0.0345186346455442,0.512148709920598,0.289387411575166,1.00000000000001e-09,5.06774991043284e-24,-1.30230981357924,11.1892723774699,2.35427014649155,-5.47039973922065e-29
stemarea,29,app,2.38449843576417,0.000196008991954392,8.36469387835791e-07,0,0.18169536803232,0.18169536803232,0.18169536803232,0.18169536803232,0.342769025997099,0,0,0
stemarea,30,app,0.0545747957771972,0.0545747957771972,0.0545747957771972,0.0545747957771972,0.476383951870427,0.376715995269283,1.00000010324931e-09,1.03249304661548e-16,-1.97312060310145,5.56836508543158,1.1125602432212,-8.89652799777174e-22
stemarea,31,app,0.0661376283109582,0.0659230692083278,0.0658221796344951,0.065729185365727,0.574725456262395,0.260114237334637,0.0549448206648016,0.00422069187272944,-1.42377109762794,7.41561225927486,-0.577951111026086,-1.51968226420003e-09
stemarea,32,app,0.0549621687672744,0.0549621361504557,0.054962113431125,0.0549621134311153,0.564379186818857,0.35628508296449,0.000778714637928302,3.42988484948619e-07,-1.2488619717516,6.14350988040572,7.84303017915033,-2.23265654764658e-11
stemarea,33,app,0.0393504940825811,0.0393504940825811,0.0393504940825811,0.0393504940825811,0.486208752152757,0.304786599498867,1.00000000000845e-09,8.44923519113116e-21,-1.67594314811522,8.82399441190496,0.0391222648894905,-5.59313602028977e-26
stemarea,34,app,0.0691228115180484,0.0679957396875031,0.0439577408083312,0.043957737147979,0.51390146605068,0.660155232984643,0.147021123864521,0.14096780719921,-1.28542590226133,5.76409188015139,1409863.35093927,-4.8085296784999e-06
stemarea,35,app,0.0545056805798621,0.0440079365410488,0.041468862337771,0.0357693439269713,0.432552843045086,0.411150299681382,0.376210831389689,0.345324203208307,-1.56248097661266,6.83944932336379,-1.51190657755121,-0.000551183357499197
stemarea,36,app,0.0365817627306131,0.0365817627306131,0.0365817627306131,0.0365817627306131,0.541060694366316,0.257943915153156,1.00000000000004e-09,3.86655554691176e-23,-1.65486708259172,11.0018105766473,2.40457278296659,-6.39082987686908e-30
stemarea,37,app,0.0736548622381722,0.0736548622390744,0.073654862224081,0.073654862224081,0.563569614686643,0.447279910485876,1.04387985194345e-09,4.38798519613153e-11,-1.53086236215051,5.03457957806661,0.0236029792400755,-9.65384441742097e-30
stemarea,38,app,0.0253890334956794,0.0248810467962494,0.0246157744041165,0.0246157743125593,0.472013207983671,0.216608379522933,0.00527680195288274,0.00434302344437637,-1.47963495591612,18.8236663320436,60876.4019707669,-3.79226828078393e-11
stemarea,39,app,0.0423676611712211,0.0423676519641189,0.042367644934673,0.042367644934671,0.507105020631078,0.320383448458892,0.000730456927827991,1.24406248404652e-07,-1.28652030222672,8.17452684873512,-1.79388309313559,-1.97006905496138e-12
stemarea,40,app,0.0758554544115264,0.0758553450679184,0.0758552013881191,0.0758552013881162,0.796627391264107,0.413403698044389,0.000870565609861063,1.68736267320864e-06,-1.37845018495577,4.97723312577109,-0.655834229011452,-2.35543106553121e-10
stemarea,41,app,0.07646500987143,0.0764650098713498,0.0764650098699134,0.0764650098699134,0.501220547272664,0.550111480082553,1.00860222895948e-09,8.60222897173441e-12,-1.33557553674682,4.59059007462846,-0.365610252047804,-2.1180163929033e-16
stemarea,42,app,0.0619307010921751,0.0619307010921751,0.0619307010921751,0.0619307010921751,0.723957731533091,0.368915994074681,1.00000000028942e-09,2.8941585015756e-19,-1.47915022372548,5.05527573497618,-3.57085360515403,-8.94613648960008e-24
stemarea,43,app,0.044368403605525,0.044368403605525,0.044368403605525,0.044368403605525,0.539274195246495,0.216250295605438,1.00000000000003e-09,2.94615005776322e-23,-1.30893462715945,12.2759381430857,1.82473130200122,-9.46105564578466e-32
stemarea,44,app,0.0406395110238652,0.0406395110238485,0.0406395110237252,0.0406395110237252,0.438976440846792,0.260858122654214,1.00061298033599e-09,6.12980336538956e-13,-1.20507506999932,12.0399849680124,0.0927444123765757,-7.03649816801681e-23
